premio,empresa,codigo projeto,tipo do premio,premio estudante 1,premio estudante 2,premio estudante 3,premio orientador,premio coorientador,premio escola,premio local de pesquisa,ano
ASU Walton Sustainability Solution Initiatives,Arizona State University - Rob and Melani Walton Sustainability Solutions Initiatives,HUM088,Projeto,0,0,0,0,0,0,0,2015
ASU Walton Sustainability Solution Initiatives,Arizona State University - Rob and Melani Walton Sustainability Solutions Initiatives,AGR120,Projeto,0,0,0,0,0,0,0,2015
ASU Walton Sustainability Solution Initiatives,Arizona State University - Rob and Melani Walton Sustainability Solutions Initiatives,HUM099,Projeto,0,0,0,0,0,0,0,2015
Prêmio Marinha do Brasil -2o. Lugar em Mentalidade Marítima,Centro de Coordenação de Estudos da Marinha em São Paulo,ENG072,Projeto,0,0,0,0,0,0,0,2015
Intel Excellence in Computer Science,Intel Excellence in Computer Science,EXA290,Projeto,0,0,0,0,0,0,0,2015
Prêmio Marinha do Brasil -3o. Lugar em Mentalidade Marítima,Centro de Coordenação de Estudos da Marinha em São Paulo,ENG073,Projeto,0,0,0,0,0,0,0,2015
Menção Honrosa UNESCO,UNESCO,HUM112,Projeto,0,0,0,0,0,0,0,2015
Menção Honrosa UNESCO,UNESCO,BIO153,Projeto,0,0,0,0,0,0,0,2015
Menção Honrosa UNESCO,UNESCO,HUM109,Projeto,0,0,0,0,0,0,0,2015
"Most Challenging, original, thorough and Creative Investigation of a Problem Involving Mathematics",MU Alpha Theta,HUM112,Projeto,0,0,0,0,0,0,0,2015
"Most Outstanding Eleventh Grade Exhibit in Computer Science, Engineering, Physics or Chemistry",Yale Science and Engineering Association,EXA267,Projeto,0,0,0,0,0,0,0,2015
Most Outstanding Exhibit in Material Science,ASM Materials Education Foundation,BIO193,Projeto,0,0,0,0,0,0,0,2015
Most Outstanding Exhibit in Material Science,ASM Materials Education Foundation,EXA271,Projeto,0,0,0,0,0,0,0,2015
Outstanding Achievement for Ability and Creativity in an Atmospheric Science Exhibit,American Meteorological Society,BIO171,Projeto,0,0,0,0,0,0,0,2015
Outstanding Achievement for Ability and Creativity in an Atmospheric Science Exhibit,American Meteorological Society,EXA264,Projeto,0,0,0,0,0,0,0,2015
Outstanding Achievement for Ability and Creativity in an Atmospheric Science Exhibit,American Meteorological Society,EXA260,Projeto,0,0,0,0,0,0,0,2015
Outstanding Achievement for Ability and Creativity in an Atmospheric Science Exhibit,American Meteorological Society,BIO173,Projeto,0,0,0,0,0,0,0,2015
Outstanding for Behavioral Sciences,American Psychological Association,HUM107,Projeto,0,0,0,0,0,0,0,2015
Prêmio Agencia USP de Inovação,Agência USP de Inovação,EXA282,Projeto,0,0,0,0,0,0,0,2015
Prêmio Agencia USP de Inovação,Agência USP de Inovação,EXA280,Projeto,0,0,0,0,0,0,0,2015
Prêmio Agencia USP de Inovação,Agência USP de Inovação,ENG076,Projeto,0,0,0,0,0,0,0,2015
Prêmio Agencia USP de Inovação,Agência USP de Inovação,ENG059,Projeto,0,0,0,0,0,0,0,2015
Prêmio Agencia USP de Inovação,Agência USP de Inovação,AGR151,Projeto,0,0,0,0,0,0,0,2015
Prêmio Centro Estadual de Educação Tecnológica Paula Souza,Centro Paula Souza,ENG020,Projeto,0,0,0,0,0,0,0,2015
Prêmio Centro Estadual de Educação Tecnológica Paula Souza,Centro Paula Souza,BIO192,Projeto,0,0,0,0,0,0,0,2015
Prêmio Centro Estadual de Educação Tecnológica Paula Souza,Centro Paula Souza,BIO156,Projeto,0,0,0,0,0,0,0,2015
Prêmio EDUSP,Editora da Universidade de São Paulo - EDUSP,EXA258,Projeto,0,0,0,0,0,0,0,2015
Prêmio EDUSP,Editora da Universidade de São Paulo - EDUSP,ENG061,Projeto,0,0,0,0,0,0,0,2015
Prêmio EDUSP,Editora da Universidade de São Paulo - EDUSP,HUM090,Projeto,0,0,0,0,0,0,0,2015
Prêmio EDUSP,Editora da Universidade de São Paulo - EDUSP,ENG060,Projeto,0,0,0,0,0,0,0,2015
Prêmio EDUSP,Editora da Universidade de São Paulo - EDUSP,ENG062,Projeto,0,0,0,0,0,0,0,2015
Prêmio EDUSP,Editora da Universidade de São Paulo - EDUSP,ENG063,Projeto,0,0,0,0,0,0,0,2015
Prêmio EDUSP,Editora da Universidade de São Paulo - EDUSP,EXA266,Projeto,0,0,0,0,0,0,0,2015
Premio ABRITEC - Destaque em Incentivo a Tecnologia e a Ciência,ABRITEC - Associação Brasileira de Incentivo à Tecnologia e Ciência,EXA283,Projeto,0,0,0,0,0,0,0,2015
Premio ABRITEC - Destaque em Incentivo a Tecnologia e a Ciência,ABRITEC - Associação Brasileira de Incentivo à Tecnologia e Ciência,BIO157,Projeto,0,0,0,0,0,0,0,2015
Premio ABRITEC - Destaque em Incentivo a Tecnologia e a Ciência,ABRITEC - Associação Brasileira de Incentivo à Tecnologia e Ciência,SAU229,Projeto,0,0,0,0,0,0,0,2015
Premio ABRITEC - Destaque em Incentivo a Tecnologia e a Ciência,ABRITEC - Associação Brasileira de Incentivo à Tecnologia e Ciência,AGR150,Projeto,0,0,0,0,0,0,0,2015
Premio ABRITEC - Destaque em Incentivo a Tecnologia e a Ciência,ABRITEC - Associação Brasileira de Incentivo à Tecnologia e Ciência,SOC209,Projeto,0,0,0,0,0,0,0,2015
Premio ABRITEC - Destaque em Incentivo a Tecnologia e a Ciência,ABRITEC - Associação Brasileira de Incentivo à Tecnologia e Ciência,HUM109,Projeto,0,0,0,0,0,0,0,2015
Premio ABRITEC - Destaque em Incentivo a Tecnologia e a Ciência,ABRITEC - Associação Brasileira de Incentivo à Tecnologia e Ciência,ENG044,Projeto,0,0,0,0,0,0,0,2015
Prêmio ABRITEC - MCL (Mostra Científica Latino Americana),ABRITEC - Associação Brasileira de Incentivo à Tecnologia e Ciência,EXA295,Projeto,0,0,0,0,0,0,0,2015
Prêmio ABRITEC - MCL (Mostra Científica Latino Americana),ABRITEC - Associação Brasileira de Incentivo à Tecnologia e Ciência,ENG076,Projeto,0,0,0,0,0,0,0,2015
Excelência em Ciências,Associação de Amigos do Instituto Weizmann do Brasil,EXA272,Participantes,1,0,0,0,0,0,0,2015
Prêmio Marinha do Brasil -1o. Lugar em Mentalidade Marítima,Centro de Coordenação de Estudos da Marinha em São Paulo,ENG071,Projeto,0,0,0,0,0,0,0,2015
Prêmio Marília Chaves Peixoto,PoliGen - Grupo de Estudos de Gênero da Poli-USP,EXA266,Projeto,0,0,0,0,0,0,0,2015
Prêmio Marília Chaves Peixoto,PoliGen - Grupo de Estudos de Gênero da Poli-USP,EXA280,Projeto,0,0,0,0,0,0,0,2015
Prêmio Space Camp 2016,Space Camp,EXA293,Projeto,0,0,0,0,0,0,0,2015
Prêmio Revista ECO 21,Revista ECO 21,ENG066,Projeto,0,0,0,0,0,0,0,2015
Prêmio Revista ECO 21,Revista ECO 21,BIO180,Projeto,0,0,0,0,0,0,0,2015
